,artist,año,streams
0,Olivia Rodrigo,2021,9443262677.0
1,Ed Sheeran,2017,8802271569.0
2,Billie Eilish,2019,7954483427.0
3,Drake,2018,7310761327.0
4,Post Malone,2019,7307249773.0
5,Post Malone,2018,7119582293.0
6,XXXTENTACION,2018,6636204374.0
7,Ariana Grande,2019,6366100129.0
8,Ed Sheeran,2019,5653843817.0
9,Juice WRLD,2020,5320473705.0
10,Doja Cat,2021,5153589652.0
11,The Weeknd,2020,4971829135.0
12,The Weeknd,2021,4912169901.0
13,Lil Nas X,2021,4789721064.0
14,Billie Eilish,2020,4482698937.0
15,Justin Bieber,2021,4438539507.0
16,Dua Lipa,2020,4109076105.0
17,Dua Lipa,2021,3809289402.0
18,Ed Sheeran,2021,3736309105.0
19,Harry Styles,2020,3640139443.0
20,Bad Bunny,2020,3628820612.0
21,Drake,2021,3592704033.0
22,Pop Smoke,2020,3546703529.0
23,The Kid LAROI,2021,3523542191.0
24,Kendrick Lamar,2017,3489746387.0
25,Billie Eilish,2021,3438672596.0
26,Justin Bieber,2020,3361570149.0
27,Ariana Grande,2018,3353499457.0
28,Ed Sheeran,2018,3295589016.0
29,BTS,2021,3254574096.0
30,Ariana Grande,2020,3208707141.0
31,Lewis Capaldi,2020,3112452646.0
32,Måneskin,2021,2970688533.0
33,DaBaby,2020,2913195102.0
34,Drake,2017,2761950923.0
35,Travis Scott,2018,2730976628.0
36,Post Malone,2020,2729605294.0
37,Drake,2020,2695258132.0
38,Tones And I,2020,2679627787.0
39,Khalid,2019,2667354596.0
40,Lil Nas X,2019,2648759379.0
41,Travis Scott,2020,2630551122.0
42,Juice WRLD,2019,2542269312.0
43,Roddy Ricch,2020,2527662585.0
44,Khalid,2018,2433850378.0
45,Taylor Swift,2020,2364718308.0
46,Imagine Dragons,2018,2327186249.0
47,J Balvin,2020,2308933090.0
48,Sam Smith,2019,2299099721.0
49,Bad Bunny,2021,2298549244.0
50,Imagine Dragons,2017,2269568582.0
51,Taylor Swift,2019,2248218877.0
52,BTS,2020,2225335103.0
53,Ariana Grande,2021,2210437179.0
54,XXXTENTACION,2019,2197775452.0
55,Lewis Capaldi,2019,2159349621.0
56,Dua Lipa,2018,2157442495.0
57,Taylor Swift,2021,2149633048.0
58,Juice WRLD,2018,2140438308.0
59,"Shawn Mendes, Camila Cabello",2019,2136325247.0
60,Juice WRLD,2021,2129900561.0
61,Eminem,2018,2125085043.0
62,Rauw Alejandro,2021,2114478210.0
63,Ed Sheeran,2020,2107648427.0
64,Adele,2021,2102676819.0
65,SAINt JHN,2020,2039935392.0
66,Clean Bandit,2017,2012437430.0
67,Doja Cat,2020,1979118402.0
68,Camila Cabello,2018,1973657173.0
69,"Post Malone, Swae Lee",2019,1928806808.0
70,Harry Styles,2021,1908585629.0
71,Kendrick Lamar,2018,1889909322.0
72,Travis Scott,2019,1884564534.0
73,Queen,2019,1884313722.0
74,Bruno Mars,2017,1873760918.0
75,Lil Uzi Vert,2017,1860611878.0
76,DJ Khaled,2017,1836898545.0
77,Pop Smoke,2021,1830582740.0
78,Drake,2019,1819964928.0
79,"Luis Fonsi, Daddy Yankee, Justin Bieber",2017,1809884237.0
80,Maroon 5,2018,1799904122.0
81,Charlie Puth,2017,1756948573.0
82,Shawn Mendes,2017,1729979994.0
83,"Calvin Harris, Funk Wav",2017,1727438411.0
84,"The Weeknd, Daft Punk",2017,1714050749.0
85,The Chainsmokers,2017,1680306111.0
86,Glass Animals,2021,1611100176.0
87,Future,2017,1607604182.0
88,Jonas Brothers,2019,1600292502.0
89,"Bruno Mars, Anderson .Paak, Silk Sonic",2021,1590289797.0
90,Lil Uzi Vert,2020,1583412250.0
91,Migos,2017,1576445016.0
92,Tones And I,2019,1569545738.0
93,BLACKPINK,2020,1562305310.0
94,Paulo Londra,2019,1551769148.0
95,Polo G,2021,1547654088.0
96,24kGoldn,2020,1532708496.0
97,Lewis Capaldi,2021,1527124408.0
98,Kanye West,2021,1519792615.0
99,"Powfu, beabadoobee",2020,1512691822.0
100,Halsey,2019,1506316758.0
101,Bad Bunny,2019,1502212665.0
102,Major Lazer,2017,1476968805.0
103,"Bad Bunny, Jhay Cortez",2021,1470334005.0
104,Ava Max,2019,1465556754.0
105,Trevor Daniel,2020,1458434429.0
106,Lady Gaga,2020,1454910154.0
107,Luis Fonsi,2017,1453145920.0
108,Eminem,2020,1452165140.0
109,Imagine Dragons,2019,1448477561.0
110,A Boogie Wit da Hoodie,2019,1435979133.0
111,"KAROL G, Nicki Minaj",2020,1429956705.0
112,Clean Bandit,2018,1426949896.0
113,Khalid,2017,1419490668.0
114,Maroon 5,2019,1419442482.0
115,Lizzo,2019,1409516941.0
116,"Lady Gaga, Bradley Cooper",2019,1399099580.0
117,Maluma,2020,1398512104.0
118,Maroon 5,2020,1391049275.0
119,Masked Wolf,2021,1385016986.0
120,"The Chainsmokers, Coldplay",2017,1371334481.0
121,Lil Tecca,2019,1366985112.0
122,Arizona Zervas,2020,1364650589.0
123,"Daddy Yankee, Snow",2019,1351309526.0
124,Lil Mosey,2020,1340633825.0
125,"Cardi B, Bad Bunny, J Balvin",2018,1330460738.0
126,The Weeknd,2018,1318438702.0
127,Billie Eilish,2018,1316952427.0
128,Bazzi,2018,1314145651.0
129,"J Balvin, Willy William",2017,1307610376.0
130,Calvin Harris,2018,1306868754.0
131,XXXTENTACION,2020,1302805890.0
132,"French Montana, Swae Lee",2017,1265579737.0
133,Future,2020,1264419163.0
134,The Neighbourhood,2021,1255205561.0
135,Kygo,2017,1245109657.0
136,"Jawsh 685, Jason Derulo",2020,1244858889.0
137,Post Malone,2017,1241408290.0
138,J. Cole,2021,1241355590.0
139,Bad Bunny,2018,1240154398.0
140,Farruko,2021,1239301638.0
141,XXXTENTACION,2017,1231300505.0
142,Shawn Mendes,2018,1216115675.0
143,24kGoldn,2021,1216098338.0
144,Jason Derulo,2017,1196592718.0
145,"J Balvin, Bad Bunny",2019,1193757841.0
146,Maluma,2019,1192607254.0
147,"Marshmello, Bastille",2019,1191723538.0
148,"Post Malone, 21 Savage",2017,1186905608.0
149,Dua Lipa,2017,1180568554.0
150,"Nicky Jam, J Balvin",2018,1174923711.0
151,benny blanco,2019,1170332012.0
152,Cardi B,2020,1161002204.0
153,Zedd,2017,1157524830.0
154,Shawn Mendes,2019,1152955939.0
155,Bebe Rexha,2018,1151051253.0
156,Sam Smith,2017,1149801405.0
157,"Marshmello, Anne-Marie",2018,1145011808.0
158,Ozuna,2018,1144006729.0
159,Camilo,2020,1138622211.0
160,DaBaby,2019,1133175316.0
161,Cardi B,2018,1119054035.0
162,"ZAYN, Taylor Swift",2017,1109419499.0
163,Tiësto,2021,1106071594.0
164,Tyga,2018,1104846747.0
165,"Pedro Capó, Farruko",2019,1094412492.0
166,Justin Bieber,2017,1092318477.0
167,Travis Scott,2017,1090275457.0
168,Cardi B,2021,1086316486.0
169,"Zedd, Maren Morris, Grey",2018,1079036242.0
170,Ozuna,2017,1075930596.0
171,YNW Melly,2019,1071013609.0
172,"Shawn Mendes, Camila Cabello",2020,1062023982.0
173,Ava Max,2020,1059835626.0
174,"Post Malone, Quavo",2017,1059634615.0
175,Post Malone,2021,1054907704.0
176,"Topic, A7S",2020,1051152604.0
177,Maluma,2021,1042719206.0
178,Kanye West,2018,1038070944.0
179,Maluma,2017,1037469391.0
180,Shakira,2017,1026627957.0
181,James Arthur,2017,1022097945.0
182,5 Seconds of Summer,2018,1010759236.0
183,5 Seconds of Summer,2019,1007741857.0
184,Taylor Swift,2017,998000253.0
185,Rauw Alejandro,2020,988644048.0
186,Mabel,2019,984093813.0
187,Imagine Dragons,2021,980114550.0
188,"Camila Cabello, Young Thug",2017,979388495.0
189,Travis Scott,2021,955454962.0
190,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",2018,954083727.0
191,Maroon 5,2021,949712248.0
192,Queen,2018,949534664.0
193,Avicii,2018,946953519.0
194,Panic! At The Disco,2019,942926451.0
195,J. Cole,2019,941391029.0
196,BlocBoy JB,2018,940081771.0
197,"Riton, Nightcrawlers",2021,939180160.0
198,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",2019,933291924.0
199,benny blanco,2018,932833697.0
200,Danny Ocean,2017,930307205.0
201,Bazzi,2019,926969175.0
202,Kali Uchis,2021,926864449.0
203,Giveon,2021,926665602.0
204,Surfaces,2020,919889127.0
205,Kodak Black,2018,919728102.0
206,Lil Baby,2020,910962448.0
207,"Bad Bunny, Tainy",2019,910078634.0
208,"Logic, Alessia Cara, Khalid",2017,909793134.0
209,DJ Snake,2018,905882472.0
210,"The Chainsmokers, Halsey",2017,902930849.0
211,KAROL G,2021,900069770.0
212,Lil Uzi Vert,2018,898890165.0
213,Julia Michaels,2017,896912942.0
214,Halsey,2020,896422102.0
215,Sam Smith,2020,894905490.0
216,Dua Lipa,2019,890729878.0
217,Rudimental,2018,884270130.0
218,Ellie Goulding,2019,873899644.0
219,Maluma,2018,873421297.0
220,KAROL G,2020,867792523.0
221,Ozuna,2019,867674894.0
222,Internet Money,2020,864083871.0
223,"Martin Garrix, Dua Lipa",2017,861117060.0
224,Harry Styles,2019,860668985.0
225,Camila Cabello,2019,859257242.0
226,Surf Mesa,2020,858607527.0
227,Niall Horan,2017,853313943.0
228,CKay,2021,851683868.0
229,Jack Harlow,2020,840899273.0
230,"Post Malone, Swae Lee",2020,839661241.0
231,6ix9ine,2018,838314249.0
232,DJ Khaled,2020,831916042.0
233,Migos,2018,830611516.0
234,"Marshmello, Bastille",2018,830274859.0
235,"Myke Towers, Juhn",2021,829974090.0
236,Selena Gomez,2020,828541469.0
237,"Liam Payne, Quavo",2017,825755364.0
238,Internet Money,2021,822209587.0
239,Maroon 5,2017,821120107.0
240,Avicii,2017,818214152.0
241,Bruno Mars,2018,816756442.0
242,J. Cole,2018,814819934.0
243,DJ Snake,2019,807720561.0
244,David Guetta,2017,804653899.0
245,"BENEE, Gus Dapperton",2020,804090499.0
246,"J Balvin, Maria Becerra",2021,803246135.0
247,"Los Legendarios, Wisin, Jhay Cortez",2021,801539040.0
248,Calvin Harris,2019,799896233.0
249,DaBaby,2021,799172396.0
250,Joel Corry,2020,796190129.0
251,Conan Gray,2020,794271866.0
252,Meek Mill,2019,793863671.0
253,The Chainsmokers,2018,793252410.0
254,Tones And I,2021,792790637.0
255,"Bad Bunny, ROSALÍA",2021,790574899.0
256,Chris Brown,2019,789060908.0
257,Nicky Jam,2017,788164585.0
258,"Y2K, bbno$",2019,786439603.0
259,Mustard,2019,785163508.0
260,"Dynoro, Gigi D'Agostino",2018,784057794.0
261,Lauv,2018,783446300.0
262,"Lunay, Daddy Yankee, Bad Bunny",2019,780216767.0
263,Kodak Black,2017,779332981.0
264,Selena Gomez,2019,778079837.0
265,Miley Cyrus,2020,774672079.0
266,BTS,2019,771776970.0
267,Regard,2020,770715427.0
268,"Bad Bunny, Jhay Cortez",2020,768731829.0
269,"MEDUZA, Goodboys",2019,766212500.0
270,Lil Baby,2019,765574363.0
271,"Bad Bunny, Jowell & Randy, Ñengo Flow",2020,764845490.0
272,"Jonas Blue, William Singe",2017,759224277.0
273,Morgan Wallen,2021,755998741.0
274,Sech,2021,754416812.0
275,blackbear,2020,752008966.0
276,Demi Lovato,2017,751046732.0
277,Tate McRae,2021,751018814.0
278,SZA,2021,749293556.0
279,Macklemore,2017,748973077.0
280,Don Toliver,2020,741608846.0
281,"Sebastian Yatra, Myke Towers",2021,739335099.0
282,Marília Mendonça,2019,733836951.0
283,"Sech, Darell",2019,733150074.0
284,Shawn Mendes,2020,732827476.0
285,JP Saxe,2020,731318983.0
286,Twenty One Pilots,2017,723089006.0
287,"DJ Snake, J Balvin",2019,720382307.0
288,"Elton John, Dua Lipa",2021,715927058.0
289,Sam Smith,2018,715225963.0
290,"Jhay Cortez, J Balvin, Bad Bunny",2019,710937080.0
291,Big Sean,2017,710455059.0
292,"Anuel AA, KAROL G",2019,708501762.0
293,"THE SCOTTS, Travis Scott, Kid Cudi",2020,708388152.0
294,XXXTENTACION,2021,703814185.0
295,Childish Gambino,2018,703356561.0
296,Young Thug,2019,700872426.0
297,"Marshmello, Khalid",2017,700673199.0
298,Axwell /\ Ingrosso,2017,700324895.0
299,"Tiësto, Dzeko, Preme, Post Malone",2018,699725779.0
300,Dennis Lloyd,2018,699515259.0
301,Dean Lewis,2019,698336947.0
302,Danny Ocean,2018,697956755.0
303,Starley,2017,696811090.0
304,Lauv,2019,696092158.0
305,Alessia Cara,2017,694703184.0
306,Selena Gomez,2018,694288442.0
307,Lauv,2017,693354650.0
308,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",2020,692594160.0
309,Selena Gomez,2017,691297983.0
310,Joel Corry,2021,689851689.0
311,Apache 207,2020,681207175.0
312,"Post Malone, 21 Savage",2018,679556978.0
313,Rich The Kid,2018,675963794.0
314,Rita Ora,2018,675582829.0
315,KYLE,2017,673358287.0
316,"Lauv, Troye Sivan",2019,672917417.0
317,Duncan Laurence,2021,671078819.0
318,Hailee Steinfeld,2017,670137039.0
319,Eminem,2017,668707846.0
320,LISA,2021,666697103.0
321,Jonas Brothers,2020,665270924.0
322,"Black Eyed Peas, J Balvin",2020,662002277.0
323,Conan Gray,2021,661786567.0
324,James Arthur,2018,660412525.0
325,"Luis Fonsi, Demi Lovato",2018,656872894.0
326,Tate McRae,2020,656480178.0
327,Alec Benjamin,2019,656001263.0
328,"Jonas Blue, Jack & Jack",2018,655717975.0
329,Piso 21,2018,651988864.0
330,Boza,2021,650521198.0
331,Harry Styles,2017,650436123.0
332,Calvin Harris,2017,649988437.0
333,"Drake, WizKid, Kyla",2017,644498772.0
334,YNW Melly,2020,641565931.0
335,"ROSALÍA, J Balvin, El Guincho",2019,639615676.0
336,Reik,2018,639062779.0
337,Cheat Codes,2017,638598811.0
338,Enrique Iglesias,2017,636406819.0
339,Anne-Marie,2018,636208056.0
340,The Kid LAROI,2020,633186794.0
341,Lil Uzi Vert,2019,632818684.0
342,"ZAYN, Sia",2017,627591308.0
343,"Selena Gomez, Marshmello",2018,626482901.0
344,Piso 21,2017,623738722.0
345,Ozuna,2020,623622902.0
346,21 Savage,2017,621236505.0
347,Polo G,2020,620507169.0
348,Martin Jensen,2017,620237144.0
349,James Arthur,2020,619897517.0
350,Daddy Yankee,2018,618248941.0
351,Maggie Lindemann,2017,618235971.0
352,Avicii,2019,617645635.0
353,Offset,2018,617193612.0
354,Charlie Puth,2018,616954181.0
355,Dan + Shay,2020,616342482.0
356,"Jay Wheeler, DJ Nelson, Myke Towers",2020,614917102.0
357,Rita Ora,2017,614601087.0
358,"Travis Scott, HVME",2021,613646082.0
359,"Calvin Harris, Jessie Reyez",2018,613219125.0
360,"Becky G, Natti Natasha",2018,612193130.0
361,A$AP Rocky,2018,611713086.0
362,Bruno Mars,2021,608626650.0
363,James Arthur,2019,607601323.0
364,Halsey,2017,607344667.0
365,Childish Gambino,2017,607341926.0
366,21 Savage,2019,607188971.0
367,João Gomes,2021,607019180.0
368,"ATB, Topic, A7S",2021,606866891.0
